origin_lga,dest_lga,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon,n_trips,n_devices,avg_distance_km,pct_weekday,pct_weekday_am_peak,pct_weekday_pm_peak,pct_weekend,pct_weekend_am_peak,pct_weekend_pm_peak
Southern Grampians,Casey,Coleraine,Western Grampians,-37.70564652563522,142.0306432175985,Narre Warren South,Melbourne,-38.05979577052403,145.30002452714226,12479,2592,289.603763563189,67.99423030691561,15.602211715682346,2.211715682346342,32.00576969308438,7.260197131180384,0.8093597243368859
Casey,Ararat,Narre Warren,Melbourne,-38.05979577052403,145.30002452714226,Armstrong,Central Highlands,-37.3421549464959,142.9142393540242,12467,3366,224.5466703022221,69.15055747172536,16.16266944734098,2.3421833640811744,30.849442528274647,6.256517205422315,1.0668163952835485
Mount Alexander,Mornington Peninsula,Castlemaine,Bendigo Loddon,-37.0586987197156,144.23384889363635,Bittern,Peninsula,-38.29235403626136,145.02040683307882,12457,3175,153.6514376994983,64.18880950469615,13.49442080757807,3.0504936983222284,35.81119049530385,6.735168981295657,1.2924460142891547
Boroondara,Ararat,Kew (Vic.),Melbourne,-37.82287315293132,145.05963609635518,Ararat,Central Highlands,-37.3421549464959,142.9142393540242,12452,4173,196.45699882455463,71.96434307741728,15.362993896562802,2.89110183103116,28.035656922582717,5.444908448442018,1.0681015097976228
Merri-bek,Benalla,Pascoe Vale South,Melbourne,-37.738661275700835,144.94915330064092,Winton (Vic.),High Country,-36.55001680847989,145.99286983902664,12447,5017,161.32714548053585,71.80846790391259,15.57001687153531,2.7637181650196836,28.191532096087414,5.905037358399615,1.1006668273479554
Greater Shepparton,Latrobe (Vic.),Shepparton,Goulburn,-36.38940852443266,145.38258615315812,Traralgon,Gippsland,-38.213057179642476,146.42477587409678,12436,2452,222.7454960155243,70.23158571888068,15.262142167899645,2.8948214860083628,29.76841428111933,6.56963653908009,1.1257639112254743
Latrobe (Vic.),Greater Shepparton,Morwell,Gippsland,-38.213057179642476,146.42477587409678,Arcadia (Vic.),Goulburn,-36.38940852443266,145.38258615315812,12424,2380,222.74549601552422,69.8325820991629,15.888602704443015,3.0344494526722476,30.16741790083709,6.197681905988409,1.263683193818416
Nillumbik,Mildura,Doreen,Yarra Valley and the Dandenong Ranges,-37.66204789541416,145.15236919085785,Mildura,Mallee,-34.25054742529868,142.13043425406676,12424,2150,466.713491499043,68.99549259497746,17.401802962009015,2.8976175144880876,31.004507405022537,7.646490663232454,1.3200257566001288
Benalla,Yarra,Benalla,High Country,-36.55001680847989,145.99286983902664,Richmond (Vic.),Melbourne,-37.79922896810677,144.9942746667229,12411,5206,164.68718357313912,70.65506405607928,13.649182177100958,2.666988961405205,29.344935943920714,6.760132140842801,0.8460236886632826
Corangamite,Monash,Camperdown (Vic.),Great Ocean Road,-38.32578838880479,143.08576051085686,Chadstone,Melbourne,-37.89728696736875,145.1372060686583,12398,3874,185.6918597317216,67.55928375544443,14.534602355218585,2.9198257783513473,32.440716244555574,7.138248104532989,1.1856751088885304
Melton,Alpine,Melton West,Melbourne,-37.72452997948302,144.6727150449748,Bright (Vic.),High Country,-36.68935497217605,146.9374192928282,12398,2485,231.23905041228545,67.71253427972253,14.582997257622196,3.444103887723826,32.28746572027747,6.307468946604292,1.3631230843684465
Moonee Valley,Alpine,Essendon Fields,Melbourne,-37.750258760350675,144.89778570792996,Bright (Vic.),High Country,-36.68935497217605,146.9374192928282,12379,2857,215.70794753441706,65.15065837305114,14.694240245577186,3.0535584457549074,34.84934162694886,7.286533645690282,1.211729541966233
Golden Plains,Warrnambool,Bannockburn (Vic.),Geelong and the Bellarine,-37.88176728103576,143.97487535936617,Warrnambool,Great Ocean Road,-38.372664592107945,142.48930319101447,12374,3967,140.9407896657122,68.67625666720542,15.621464360756423,1.80216583158235,31.323743332794567,5.309519961208987,0.7111685792791337
Towong,Wangaratta,Talgarno,High Country,-36.20190233890858,147.41549023698408,Wangaratta (Vic.),High Country,-36.376466908422685,146.3351540678262,12335,3141,98.7537348278875,67.85569517632753,12.460478313741387,2.7077421970004054,32.14430482367248,6.428860964734495,1.070125658694771
Mitchell,Bass Coast,Wallan,Goulburn,-37.28781680323136,145.011313351489,Cowes,Phillip Island,-38.527845172196216,145.4582565574395,12328,2696,143.35135762537413,63.31116158338741,14.45489941596366,2.668721609344581,36.68883841661259,7.300454250486697,1.3627514600908501
Baw Baw,Macedon Ranges,Warragul,Gippsland,-38.139765047023694,145.94938812228204,Kyneton,Macedon,-37.38513245836307,144.59317056983807,12296,3260,145.78604855631,68.43689004554327,14.045217957059206,3.0416395575797006,31.563109954456735,5.416395575797007,1.1223162003903708
Strathbogie,Frankston,Nagambie,Goulburn,-36.783789547174315,145.39165623925777,Seaford (Vic.),Peninsula,-38.13166853737149,145.16346718936185,12277,4190,151.22445367117672,67.0522114523092,13.773723222285575,2.2318155901278813,32.947788547690806,5.441068664983302,0.8226765496456789
Mildura,Nillumbik,Mildura,Mallee,-34.25054742529868,142.13043425406676,Diamond Creek,Yarra Valley and the Dandenong Ranges,-37.66204789541416,145.15236919085785,12258,2170,466.713491499042,69.88905204764235,16.27508565834557,3.0673845651819223,30.11094795235764,6.746614455865557,1.3052700277369882
Bayside (Vic.),Alpine,Brighton East,Melbourne,-37.93621358551396,145.01540741538258,Bright (Vic.),High Country,-36.68935497217605,146.9374192928282,12257,2721,219.3414681311296,66.49261646406134,15.713469853961001,2.7657665007750674,33.507383535938644,6.9103369503141066,1.068777025373256
Wangaratta,Maroondah,Wangaratta South,High Country,-36.376466908422685,146.3351540678262,Ringwood (Vic.),Melbourne,-37.80513722873037,145.2597603784514,12242,3331,185.29372990345982,70.48684855415782,13.984643032184282,2.7691553667701356,29.513151445842183,5.2360725371671295,1.0619179872569842
Stonnington,Northern Grampians,Malvern (Vic.),Melbourne,-37.854614836621806,145.0219008455041,Great Western,Central Highlands,-36.976577531598714,142.82770943720857,12215,4740,216.98041385530436,68.97257470323372,14.433074089234548,2.316823577568563,31.02742529676627,6.958657388456816,1.2116250511665985
Central Goldfields,Moorabool,Maryborough (Vic.),Bendigo Loddon,-37.033860221772294,143.7415314189357,Wallace,Macedon,-37.65388279421886,144.35188791224363,12212,3349,87.54634384282893,66.59842777595807,12.618735669832951,2.5139207337045533,33.40157222404193,5.7811988208319685,0.9662626924336719
Ararat,Casey,Ararat,Central Highlands,-37.3421549464959,142.9142393540242,Berwick,Melbourne,-38.05979577052403,145.30002452714226,12211,3327,224.54667030222186,66.87412988289248,13.9873884202768,2.6697240193268366,33.125870117107524,7.575137171402833,0.9417738104987308
Maroondah,Wangaratta,Croydon (Vic.),Melbourne,-37.80513722873037,145.2597603784514,Springhurst,High Country,-36.376466908422685,146.3351540678262,12200,3357,185.29372990346,73.40983606557377,15.114754098360656,3.1393442622950816,26.59016393442623,5.057377049180327,0.8770491803278688
South Gippsland,Macedon Ranges,Foster,Gippsland,-38.51000720255768,145.94855425037235,Darraweit Guim,Macedon,-37.38513245836307,144.59317056983807,12186,1654,172.5348200359368,67.60216642048252,15.44395207615296,3.0280649926144756,32.397833579517474,7.6891514853110134,1.2227145905137042
Hepburn,Greater Dandenong,Newbury,Spa Country,-37.347546002481,144.06228219784037,Bangholme,Melbourne,-37.98494274359324,145.18828325174346,12151,3872,121.84350105770483,66.12624475351822,13.126491646778044,2.8063533865525474,33.87375524648177,6.559130935725454,0.9464241626203604
Moira,Port Phillip,Bundalong,Central Murray,-36.0172158101163,145.67529156599454,South Melbourne,Melbourne,-37.86126130816699,144.9806954443348,12151,4203,214.13749055261852,70.04361780923381,15.093407949962966,2.5923792280470743,29.95638219076619,7.094066331989136,1.0781005678544975
Mornington Peninsula,Mount Alexander,Dromana,Peninsula,-38.29235403626136,145.02040683307882,Chewton,Bendigo Loddon,-37.0586987197156,144.23384889363635,12143,3090,153.65143769949842,65.78275549699416,13.373960306349336,2.3635016058634606,34.217244503005844,6.6458041670098,1.1364572181503747
Surf Coast,Latrobe (Vic.),Winchelsea,Great Ocean Road,-38.348388766704545,144.21031303599864,Moe South,Gippsland,-38.213057179642476,146.42477587409678,12119,2680,193.8724881613371,63.84190114695932,13.062133839425696,2.4672002640481887,36.158098853040684,6.196880930769866,1.4852710619688092
Bass Coast,Mitchell,Cowes,Phillip Island,-38.527845172196216,145.4582565574395,Wallan,Goulburn,-37.28781680323136,145.011313351489,12105,2610,143.35135762537425,62.56092523750516,13.878562577447337,2.4039653035935564,37.43907476249484,7.104502271788517,1.2391573729863694
Monash,Corangamite,Glen Waverley,Melbourne,-37.89728696736875,145.1372060686583,Lismore (Vic.),Great Ocean Road,-38.32578838880479,143.08576051085686,12097,3783,185.69185973172148,70.83574439943787,15.681573943953046,3.4058030916756223,29.16425560056212,6.084153095808878,1.1821112672563445
Warrnambool,Latrobe (Vic.),Warrnambool,Great Ocean Road,-38.372664592107945,142.48930319101447,Morwell,Gippsland,-38.213057179642476,146.42477587409678,12096,2188,343.8875534836801,71.29629629629629,15.335648148148149,2.7281746031746033,28.703703703703702,6.3161375661375665,0.9093915343915343
Frankston,Strathbogie,Carrum Downs,Peninsula,-38.13166853737149,145.16346718936185,Longwood (Vic.),Goulburn,-36.783789547174315,145.39165623925777,12092,4167,151.22445367117686,69.9305325835263,14.84452530598743,2.6463777704267284,30.0694674164737,5.127356930201786,1.4803175653324512
Wodonga,Darebin,Wodonga,Murray East,-36.13081072902897,146.88050092664582,Reservoir (Vic.),Melbourne,-37.73735356736465,145.0080486614528,12068,3560,244.13884083306309,72.87040106065628,14.633742127941666,3.1736824660258534,27.12959893934372,5.369572422936693,0.8783559827643355
Wyndham,Indigo,Hoppers Crossing,Melbourne,-37.880242042143955,144.68509738538478,Stanley (Vic.),High Country,-36.20557771357384,146.69736456603127,12057,4286,258.0023945853643,70.98780791241602,13.403002405241768,3.6990959608526173,29.012192087583976,6.643443642697189,1.3436178153769593
Latrobe (Vic.),Warrnambool,Traralgon South,Gippsland,-38.213057179642476,146.42477587409678,Warrnambool,Great Ocean Road,-38.372664592107945,142.48930319101447,12050,2055,343.8875534836801,70.39834024896265,16.107883817427386,2.5975103734439835,29.601659751037346,5.717842323651452,1.012448132780083
Northern Grampians,Monash,Wartook,Central Highlands,-36.976577531598714,142.82770943720857,Mulgrave (Vic.),Melbourne,-37.89728696736875,145.1372060686583,12036,3801,228.15659786026345,68.6856098371552,12.662013958125623,2.932868062479229,31.314390162844795,6.5636424061149885,1.0717846460618146
Swan Hill,Macedon Ranges,Piangil,Mallee,-35.21981010945133,143.40895947635028,Woodend North,Macedon,-37.38513245836307,144.59317056983807,12028,3286,263.11470275368356,69.39640838044564,14.383106085799803,2.7519122048553375,30.603591619554372,6.069171932158297,1.0974393082806784
Port Phillip,Alpine,St Kilda East,Melbourne,-37.86126130816699,144.9806954443348,Gapsted,High Country,-36.68935497217605,146.9374192928282,12026,2758,216.68458454849545,67.196075170464,13.969732246798602,2.9020455679361383,32.80392482953601,6.211541659737236,1.2971894229170131
Stonnington,Glenelg,Malvern East,Melbourne,-37.854614836621806,145.0219008455041,Digby,Great Ocean Road,-38.1809219998933,141.5541321643919,12023,4244,305.92252340606336,71.95375530233719,15.32063544872328,2.7281044664393246,28.046244697662814,5.763952424519671,1.056308741578641
Colac Otway,Moorabool,Cressy (Vic.),Great Ocean Road,-38.438595295656384,143.62213312593246,Bungaree (Vic.),Macedon,-37.65388279421886,144.35188791224363,12018,3445,108.15260600494956,66.31719088034615,13.163587951406225,2.4463305042436345,33.682809119653854,5.799633882509569,0.9568979863538026
Alpine,Melton,Porepunkah,High Country,-36.68935497217605,146.9374192928282,Ravenhall,Melbourne,-37.72452997948302,144.6727150449748,12014,2495,231.2390504122856,63.09305809888463,12.335608456800399,2.6052938238721493,36.90694190111537,7.208257033460962,1.2984851007158316
Yarra,Benalla,Cremorne (Vic.),Melbourne,-37.79922896810677,144.9942746667229,Taminick,High Country,-36.55001680847989,145.99286983902664,12012,4949,164.68718357313915,71.44522144522143,14.160839160839162,2.5474525474525476,28.554778554778554,6.193806193806194,0.9823509823509824
Gannawarra,Ballarat,Murrabit,Mallee,-35.74140499234074,143.98668116834165,Buninyong,Ballarat,-37.560758619880346,143.84044028877062,11992,1948,202.72302490311446,63.917611741160776,13.867578385590393,2.7018012008005337,36.082388258839224,6.887925283522348,1.175783855903936
Murrindindi,Macedon Ranges,Yea,High Country,-37.317331170312265,145.55869351856012,Gisborne,Macedon,-37.38513245836307,144.59317056983807,11978,3378,85.67678657610281,66.39672733344464,13.124060778093172,1.344130906662214,33.60327266655535,5.551845049256971,0.9183503088996493
