origin_lga,dest_lga,hour_of_day,day_type,peak_period,n_trips,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon
Casey,Greater Geelong,14,Weekday,Off_Peak,138,Berwick,Melbourne,-38.06111031151929,145.30117652760546,Portarlington,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,15,Weekday,Off_Peak,147,Hampton Park,Melbourne,-38.06111031151929,145.30117652760546,Geelong,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,15,Weekend,Off_Peak,66,Doveton,Melbourne,-38.06111031151929,145.30117652760546,Bell Park,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,16,Weekday,PM_Peak,172,Doveton,Melbourne,-38.06111031151929,145.30117652760546,Bell Park,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,16,Weekend,PM_Peak,43,Doveton,Melbourne,-38.06111031151929,145.30117652760546,Bell Park,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,17,Weekday,PM_Peak,288,Cranbourne,Melbourne,-38.06111031151929,145.30117652760546,Portarlington,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,17,Weekend,PM_Peak,41,Doveton,Melbourne,-38.06111031151929,145.30117652760546,Bell Park,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,18,Weekend,PM_Peak,60,Endeavour Hills,Melbourne,-38.06111031151929,145.30117652760546,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,18,Weekday,PM_Peak,412,Berwick,Melbourne,-38.06111031151929,145.30117652760546,Norlane,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,19,Weekend,Off_Peak,90,Doveton,Melbourne,-38.06111031151929,145.30117652760546,Bell Park,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,19,Weekday,Off_Peak,401,Berwick,Melbourne,-38.06111031151929,145.30117652760546,Norlane,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
