origin_lga,dest_lga,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon,n_trips,n_devices,avg_distance_km,pct_weekday,pct_weekday_am_peak,pct_weekday_pm_peak,pct_weekend,pct_weekend_am_peak,pct_weekend_pm_peak
Buloke,Yarra,Birchip,Wimmera,-36.11992483355926,143.07087986220304,Clifton Hill,Melbourne,-37.79921964089451,144.98881256422413,320,213,252.78661259333472,75.9375,11.875,2.5,24.0625,4.0625,0.3125
Loddon,Hume,Raywood,Bendigo Loddon,-36.4550804760836,143.92631495641191,Melbourne Airport,Melbourne,-37.615969590974,144.88136462221786,319,99,154.4300252174073,77.11598746081505,24.137931034482758,0.6269592476489028,22.884012539184955,4.38871473354232,0.0
Boroondara,Indigo,Ashburton,Melbourne,-37.82148848520205,145.05704680842265,Beechworth,High Country,-36.20375467405744,146.6957856753843,319,190,231.35449938609634,76.17554858934169,5.329153605015674,1.8808777429467085,23.824451410658305,4.38871473354232,1.2539184952978055
Cardinia,Horsham,Beaconsfield Upper,Yarra Valley and the Dandenong Ranges,-38.06715044710119,145.4689113551805,Horsham,Western Grampians,-36.72327426128316,142.19247246514456,319,188,325.71128598021977,78.36990595611285,20.689655172413794,2.507836990595611,21.630094043887148,5.6426332288401255,1.8808777429467085
Brimbank,Pyrenees,Delahey,Melbourne,-37.75022702710584,144.79610934963873,Avoca (Vic.),Ballarat,-37.384342837390406,143.41865683282327,318,134,128.0390097987683,71.69811320754717,10.062893081761008,5.031446540880504,28.30188679245283,3.7735849056603774,0.0
Indigo,Boroondara,Beechworth,High Country,-36.20375467405744,146.6957856753843,Kew (Vic.),Melbourne,-37.82148848520205,145.05704680842265,318,192,231.35449938609628,77.67295597484278,7.232704402515723,2.515723270440252,22.32704402515723,3.7735849056603774,0.0
Strathbogie,Knox,Violet Town,Goulburn,-36.784768692435414,145.38652415301266,Ferntree Gully,Melbourne,-37.87935573451447,145.24961212130876,317,159,122.31295612515649,76.97160883280758,18.61198738170347,0.6309148264984227,23.02839116719243,5.047318611987381,0.31545741324921134
Melton,Ararat,Eynesbury,Melbourne,-37.72214220491137,144.66696598468297,Nerrin Nerrin,Central Highlands,-37.325550818468905,142.92351607556006,317,163,159.94882867462283,80.12618296529969,11.987381703470032,0.6309148264984227,19.873817034700316,0.9463722397476341,0.31545741324921134
Ararat,Banyule,Ararat,Central Highlands,-37.325550818468905,142.92351607556006,Ivanhoe (Vic.),Melbourne,-37.73212598630642,145.07961429390113,316,118,195.42660818563016,81.64556962025317,10.443037974683545,3.481012658227848,18.354430379746837,4.113924050632911,0.949367088607595
Mansfield,Campaspe,Mansfield (Vic.),High Country,-37.0783858520291,146.0652756768719,Rushworth,Central Murray,-36.23581917987795,144.8057801454641,316,73,146.28601347459656,79.74683544303798,19.936708860759495,0.0,20.253164556962027,5.063291139240507,1.5822784810126582
Central Goldfields,Macedon Ranges,Maryborough (Vic.),Bendigo Loddon,-37.02905323881371,143.74290351092444,Gisborne,Macedon,-37.3798361232659,144.5841119093147,316,100,84.09401450250829,66.77215189873418,7.2784810126582276,0.31645569620253167,33.22784810126582,3.481012658227848,0.0
Ararat,Greater Geelong,Ararat,Central Highlands,-37.325550818468905,142.92351607556006,Breakwater,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,316,206,158.19984731559882,69.62025316455697,14.556962025316455,0.0,30.37974683544304,4.746835443037975,0.0
Gannawarra,Wyndham,Cohuna,Mallee,-35.73935184266779,143.98617665366075,Werribee,Melbourne,-37.89016777149549,144.67403984987567,315,127,246.87199702345745,74.92063492063492,15.873015873015872,3.492063492063492,25.07936507936508,4.444444444444445,1.2698412698412698
Glenelg,Greater Geelong,Portland North,Great Ocean Road,-38.16418162243437,141.54725588044482,South Geelong,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,315,233,248.51327110583466,75.87301587301587,11.746031746031745,0.31746031746031744,24.126984126984127,0.31746031746031744,0.0
Wodonga,Greater Geelong,Barnawartha North,Murray East,-36.13000861559989,146.88124164163418,Newtown (Greater Geelong - Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,315,261,314.998152985582,72.38095238095238,12.380952380952381,2.2222222222222223,27.61904761904762,3.8095238095238098,3.1746031746031744
Campaspe,Mansfield,Kyabram,Central Murray,-36.23581917987795,144.8057801454641,Mansfield (Vic.),High Country,-37.0783858520291,146.0652756768719,314,76,146.28601347459664,81.21019108280255,19.10828025477707,0.3184713375796179,18.789808917197455,5.095541401273886,1.5923566878980893
Greater Shepparton,Mount Alexander,Shepparton,Goulburn,-36.389249928075884,145.38203467053052,Campbells Creek,Bendigo Loddon,-37.05849514622917,144.23676542972527,314,122,126.31816875964171,71.3375796178344,8.9171974522293,0.6369426751592357,28.662420382165603,4.777070063694268,0.9554140127388535
Wangaratta,Bayside (Vic.),Wangaratta (Vic.),High Country,-36.37370291551564,146.3366016864766,Brighton (Vic.),Melbourne,-37.937200247483275,145.01525321339588,314,241,209.60667091734538,63.37579617834395,9.554140127388536,1.910828025477707,36.624203821656046,8.280254777070063,1.2738853503184715
Yarra,Indigo,Fitzroy (Vic.),Melbourne,-37.79921964089451,144.98881256422413,Beechworth,High Country,-36.20375467405744,146.6957856753843,313,159,233.33746139729905,83.06709265175719,7.348242811501597,2.8753993610223643,16.93290734824281,1.9169329073482428,0.6389776357827476
